ogc_fid,gml_id,id,codseccion,munide,nuevos_mun,codigo,cod_dep,nom_dep,cod_prov,nom_prov,cod_mun,cat_sec,nom_mun,cantones,poblacion,area,perimeter,prov,pob_tot,hombres,mujeres,tc_92_01,lengua,zlengua,adscrip,zadscrip,pueblos,anal_tot,anal_hom,anal_muj,tmi,part_per,tgf,tmn,nbi_92,nbi_01
53,indigena.53,209.0,020401,41.0,0.0,020401,2,La Paz,4,Camacho,1,PRIMERA,Puerto Acosta,9,26965,8.38076801039E8,192447.967,Camacho,27296.0,13290.0,14006.0,0.1,26485.0,97.0,16780.0,97.1,Aymara,35.2,15.3,52.8,73.9,13.0,6.5,-17.9,98.9,97.1
54,indigena.54,27.0,020503,80.0,0.0,020503,2,La Paz,5,Mu?ecas,3,TERCERA,Aucapata,2,4075,2.408666295E8,68668.347,Mu?ecas,4146.0,2162.0,1984.0,0.2,4008.0,96.7,2143.0,92.1,"Quechua,Aymara",42.4,24.7,61.4,105.2,12.3,6.5,-14.8,99.3,99.8
55,indigena.55,25.0,020501,82.0,0.0,020501,2,La Paz,5,Mu?ecas,1,PRIMERA,Chuma,6,8605,5.93957145172E8,149219.788,Mu?ecas,12874.0,6731.0,6143.0,4.4,12615.0,98.0,7280.0,94.5,"Aymara,Quechua",33.6,20.9,47.6,71.6,11.0,6.5,-9.3,98.7,98.9
56,indigena.56,23.0,020601,65.0,0.0,020601,2,La Paz,6,Larecaja,1,PRIMERA,Sorata,7,16073,2.069319971094E9,310818.523,Larecaja,18932.0,9644.0,9288.0,1.8,17266.0,91.2,10968.0,93.6,Aymara,26.4,14.0,39.6,76.1,19.2,5.3,-18.0,95.8,96.6
74,indigena.74,256.0,071102,263.0,0.0,071102,7,Santa Cruz,11,?uflo De Chavez,2,SEGUNDA,San Javier,2,10434,3.421196056625E9,317642.738,Nuflo de Chavez,11316.0,6116.0,5200.0,0.9,1390.0,12.3,4488.0,75.3,Chiquitano,17.3,13.7,21.8,66.5,57.5,7.1,12.7,92.4,82.9
57,indigena.57,28.0,020606,67.0,0.0,020606,2,La Paz,6,Larecaja,6,SEXTA,Tipuani,4,13708,2.987633385E8,86070.772,Larecaja,9321.0,5017.0,4304.0,-4.2,4198.0,45.0,3716.0,67.6,"Aymara,Quechua",9.8,4.7,16.2,82.7,64.4,5.8,-39.4,89.0,73.3
58,indigena.58,180.0,020403,42.0,0.0,020403,2,La Paz,4,Camacho,3,TERCERA,Puerto Carabuco,4,12828,4.10744723773E8,153660.328,Camacho,16499.0,8459.0,8040.0,2.6,15694.0,95.1,10039.0,93.9,Aymara,30.0,14.9,46.0,65.9,18.3,6.5,-9.5,97.9,96.1
59,indigena.59,21.0,020604,64.0,0.0,020604,2,La Paz,6,Larecaja,4,CUARTA,Quiabaya,1,2212,1.324041865E8,53654.256,Larecaja,2580.0,1353.0,1227.0,1.7,2451.0,95.0,1389.0,94.1,Aymara,34.2,22.6,46.9,97.7,7.6,5.8,-9.2,89.4,99.2
60,indigena.60,271.0,030302,110.0,0.0,030302,3,Cochabamba,3,Ayopaya,2,SEGUNDA,Morochata,8,26049,7.388067654609E9,557049.85,Ayopaya,34134.0,17132.0,17002.0,2.9,33859.0,99.2,17503.0,92.7,"Quechua,Aymara",31.4,18.4,44.3,96.7,15.3,6.9,-9.2,99.3,98.2
61,indigena.61,412.0,020401,41.0,0.0,020401,2,La Paz,4,Camacho,1,PRIMERA,Puerto Acosta,9,26965,18249.0,660.903,Camacho,27296.0,13290.0,14006.0,0.1,26485.0,97.0,16780.0,97.1,Aymara,35.2,15.3,52.8,73.9,13.0,6.5,-17.9,98.9,97.1
62,indigena.62,413.0,020401,41.0,0.0,020401,2,La Paz,4,Camacho,1,PRIMERA,Puerto Acosta,9,26965,1639.5,160.722,Camacho,27296.0,13290.0,14006.0,0.1,26485.0,97.0,16780.0,97.1,Aymara,35.2,15.3,52.8,73.9,13.0,6.5,-17.9,98.9,97.1
63,indigena.63,414.0,020401,41.0,0.0,020401,2,La Paz,4,Camacho,1,PRIMERA,Puerto Acosta,9,26965,1620.0,148.201,Camacho,27296.0,13290.0,14006.0,0.1,26485.0,97.0,16780.0,97.1,Aymara,35.2,15.3,52.8,73.9,13.0,6.5,-17.9,98.9,97.1
64,indigena.64,415.0,020403,42.0,0.0,020403,2,La Paz,4,Camacho,3,TERCERA,Puerto Carabuco,4,12828,21508.086,560.324,Camacho,16499.0,8459.0,8040.0,2.6,15694.0,95.1,10039.0,93.9,Aymara,30.0,14.9,46.0,65.9,18.3,6.5,-9.5,97.9,96.1
65,indigena.65,181.0,020202,91.0,0.0,020202,2,La Paz,2,Omasuyos,2,SEGUNDA,Ancoraimes,6,13653,3.262945855E8,88994.885,Omasuyos,15199.0,7400.0,7799.0,1.2,14922.0,98.2,8776.0,94.2,Aymara,30.0,12.8,45.8,70.6,13.6,5.7,-20.3,98.8,98.3
66,indigena.66,270.0,021105,102.0,0.0,021105,2,La Paz,11,Sur Yungas,5,CUARTA,La Asunta,13,12198,2.821409475828E9,267009.635,Sur Yungas,18016.0,9824.0,8192.0,4.2,11932.0,66.2,9478.0,88.5,Aymara,11.5,5.9,18.8,74.3,29.9,5.0,22.5,98.8,94.9
67,indigena.67,20.0,020101,85.0,0.0,020101,2,La Paz,1,Murillo,1,CAPITAL,Nuestra Se?ora de La Paz,2,715900,1.987470758688E9,309213.015,Murillo,793293.0,379519.0,413774.0,1.1,296147.0,37.3,338352.0,61.2,Aymara,4.8,1.5,7.8,53.5,81.2,2.7,-12.0,45.8,34.5
68,indigena.68,26.0,020605,62.0,0.0,020605,2,La Paz,6,Larecaja,5,QUINTA,Combaya,2,2569,9.8584674E7,42113.451,Larecaja,2559.0,1306.0,1253.0,0.0,2516.0,98.3,1619.0,97.0,Aymara,32.1,16.0,49.5,76.5,15.6,5.8,-14.8,98.0,99.6
69,indigena.69,245.0,031003,126.0,0.0,031003,3,Cochabamba,10,Chapare,3,TERCERA,Villa Tunari,3,48111,1.4583634326125E10,850006.325,Chapare,53996.0,30920.0,23076.0,1.2,46979.0,87.0,28384.0,88.7,"Quechua,Aymara,Mojeno",19.0,11.2,30.8,91.0,48.0,6.1,-0.5,96.8,87.2
70,indigena.70,251.0,070403,259.0,0.0,070403,7,Santa Cruz,4,Ichilo,3,TERCERA,Yapacan?,1,20353,9.566843741969E9,975613.104,Ichilo,31538.0,16998.0,14540.0,4.7,16469.0,52.2,11719.0,66.1,Quechua,15.5,8.5,24.2,57.1,72.0,5.4,2.5,91.0,71.0
71,indigena.71,260.0,071503,255.0,0.0,071503,7,Santa Cruz,15,Guarayos,3,TERCERA,El Puente,2,5034,6.800560129609E9,643896.291,Guarayos,8633.0,5014.0,3619.0,5.8,3079.0,35.7,2717.0,57.6,"Quechua,Guarani",17.4,10.8,27.8,77.8,52.7,6.2,42.0,99.0,92.3
72,indigena.72,189.0,020201,90.0,0.0,020201,2,La Paz,2,Omasuyos,1,PRIMERA,Achacachi,14,60050,1.077787752031E9,231859.129,Omasuyos,70503.0,34659.0,35844.0,1.7,65644.0,93.1,43286.0,95.6,Aymara,25.1,11.2,37.9,75.9,18.0,5.0,-13.6,93.3,93.3
73,indigena.73,420.0,020403,42.0,0.0,020403,2,La Paz,4,Camacho,3,TERCERA,Puerto Carabuco,4,12828,7468.0,317.771,Camacho,16499.0,8459.0,8040.0,2.6,15694.0,95.1,10039.0,93.9,Aymara,30.0,14.9,46.0,65.9,18.3,6.5,-9.5,97.9,96.1
75,indigena.75,416.0,020202,91.0,0.0,020202,2,La Paz,2,Omasuyos,2,SEGUNDA,Ancoraimes,6,13653,35632.602,903.681,Omasuyos,15199.0,7400.0,7799.0,1.2,14922.0,98.2,8776.0,94.2,Aymara,30.0,12.8,45.8,70.6,13.6,5.7,-20.3,98.8,98.3
76,indigena.76,344.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,46677.0,1149.199,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
77,indigena.77,345.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,30177.0,744.391,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
78,indigena.78,343.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,38826.0,858.355,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
79,indigena.79,347.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,45895.0,930.686,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
80,indigena.80,324.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,2.09984095E7,46303.482,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
81,indigena.81,242.0,031204,118.0,0.0,031204,3,Cochabamba,12,Carrasco,4,CUARTA,Chimore,1,8555,2.74990710096899E9,707046.489,Carrasco,15264.0,8830.0,6434.0,6.4,11613.0,76.1,7346.0,79.9,"Quechua,Yuracare",14.6,7.9,25.5,89.6,52.8,6.0,23.4,94.8,82.7
82,indigena.82,421.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,23093.5,775.997,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
